1,2,3,4,5,6,W,Exp Wins
148,147,126,101,60,37,23,3.3378378378378377
148,138,93,67,32,13,5,2.3513513513513513
148,126,77,37,17,11,4,1.837837837837838
146,117,70,22,13,3,1,1.5135135135135136
148,95,50,11,7,3,0,1.1216216216216217
148,91,43,15,3,2,1,1.0472972972972974
148,90,28,10,3,1,1,0.8986486486486487
148,72,15,8,6,4,1,0.7162162162162162
148,76,7,4,1,0,0,0.5945945945945946
148,58,24,9,1,0,0,0.6216216216216216
148,57,26,9,5,0,0,0.6554054054054054
148,52,22,2,0,0,0,0.5135135135135135
146,31,6,0,0,0,0,0.23648648648648649
148,22,2,0,0,0,0,0.16216216216216217
148,11,3,1,0,0,0,0.10135135135135136
148,1,0,0,0,0,0,0.006756756756756757
